titulo,empresa,categoria,tipo,salario,localizacao,link
Technical Data Manager,BMF Media Information Technology GmbH,Data and Analytics,full-time,unspecified,Germany,https://join.com/companies/bmfgroupde/16077037-technical-data-manager-m-w-d?pid=aae2f260d3eca542896a
Senior Data Scientist,Referrals Only,Data and Analytics,full-time,"gbp 80,000 - 95,000 per year",UK,https://job-boards.greenhouse.io/monzoreferrals/jobs/7861424
Senior Data Engineer,UL Solutions,Data and Analytics,full-time,unspecified,"Poland, Italy",https://fa-eups-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ULSolutionsCareers/job/9214
Data Entry Specialist,JayWay Travel,Data and Analytics,contract,unspecified,Europe,https://ats.rippling.com/jayway-travel-inc-openroles/jobs/c69de8ed-56b4-44f8-8eed-a3e44e254527
LLM_Egocentric_COSMOS_night shift,Zensar,Data and Analytics,full-time,unspecified,India,https://fa-etvl-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/144509
Senior Data Modeler,Fusion Consulting,Data and Analytics,full-time,unspecified,Worldwide,https://jobs.smartrecruiters.com/FusionConsulting/744000123388679-senior-data-modeler-snowflake-
Business Intelligence Engineer,Trinetix,Data and Analytics,full-time,unspecified,Argentina,https://jobs.workable.com/view/nLzAn2fmu1vGLcmMzghLpg/remote-business-intelligence-engineer-in-argentina-at-trinetix
BI Platform & Data Automation Engineer,loyos bi GmbH,Data and Analytics,full-time,unspecified,Germany,https://join.com/companies/loyos-bi/16076121-bi-platform-und-data-automation-engineer-m-w-d-powerbi-power-automate-und-microsoft-fabric?pid=aae2f260d3eca542896a
Pipeline Integrity Data Analyst,"PROtect, LLC",Data and Analytics,temporary,unspecified,USA,https://jobs.dayforcehcm.com/en-US/protectllc/CANDIDATEPORTAL/jobs/819
Data Engineering Consultant,Zensar,Data and Analytics,full-time,unspecified,India,https://fa-etvl-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/144733
Business Analyst,GFT Technologies SE,Data and Analytics,full-time,unspecified,Worldwide,https://jobs.gft.com/job/Milano-Business-Analyst-1-1-1-1-1-1-20139/1280948301/
